datum,dag,tijd,team,tegenstander,veld,wedstrijdnummer,scheidsrechters,locatie
2026-06-06,Zaterdag,09:15,Meisjes O12-1,M.H.V. Evergreen Evergreen MO12-1,Veld 2,,,thuis
2026-06-06,Zaterdag,09:45,Meisjes O9-Oranje,H.C. Feijenoord Feijenoord MO9-Roze,Veld 1D,,,thuis
2026-06-06,Zaterdag,09:45,Meisjes O9-Geel,H.C. Derby Derby MO9-4,Veld 1C,,,thuis
2026-06-06,Zaterdag,10:00,Meisjes O8-Groen,N.H.C. De IJssel IJssel MO8-1,Veld 1B,,,thuis
2026-06-06,Zaterdag,10:00,Meisjes O8-Oranje,H.C. Feijenoord Feijenoord MO8-Turquoise-mix,Veld 1A,,,thuis
2026-06-06,Zaterdag,11:00,Meisjes O9-Groen,N.H.C. De IJssel IJssel MO9-1,Veld 1D,,,thuis
2026-06-06,Zaterdag,11:00,Meisjes O8-Blauw,DMHC Dordrecht MO8-Rood,Veld 1B,,,thuis
2026-06-06,Zaterdag,11:00,Coolkids-Oranje,H.C. Voorne Voorne MO7-Rood,Veld 1A,,,thuis
2026-06-06,Zaterdag,11:00,Meisjes O12-2,R.H.V. Leonidas Leonidas MO12-4,Veld 2,,,thuis
2026-06-06,Zaterdag,12:15,Jongens O10-Blauw,H.V. Spijkenisse Spijkenisse JO10-Zwart,Veld 1CD,,,thuis
2026-06-06,Zaterdag,12:15,Meisjes O10-Rood,H.C. Voorne Voorne MO10-Groen,Veld 1AB,,,thuis
2026-06-06,Zaterdag,12:45,Meisjes O14-4,H.V. Spijkenisse Spijkenisse MO14-3,Veld 2,,,thuis
2026-06-06,Zaterdag,13:45,Meisjes O11-1,H.V. Spijkenisse Spijkenisse MO11-2,Veld 1ABC,,,thuis
2026-06-06,Zaterdag,14:30,Meisjes O14-2,M.H.V. Evergreen Evergreen MO14-1,Veld 2,,,thuis
2026-06-06,Zaterdag,15:30,Meisjes O14-5,H.C. De Hoeksche Waard Hoeksche Waard MO14-4,Veld 1,,,thuis
2026-06-06,Zaterdag,16:15,Meisjes O16-3,H.C. Capelle Capelle MO16-2,Veld 2,,,thuis
2026-06-07,Zondag,10:30,Dames 1,L.H.C. Roomburg Roomburg D5,Veld 2,,,thuis
2026-06-07,Zondag,12:20,Heren 2,H.C. Feijenoord Feijenoord/Victoria H3,Veld 2,,,thuis
2026-06-07,Zondag,14:10,Heren 4,S.H.C. Scoop Scoop Delft H4,Veld 2,,,thuis
2026-06-13,Zaterdag,08:45,Jongens O8-Groen,Ommoordse M.H.C. Ommoord JO8-Groen,Veld 1A,,,thuis
2026-06-13,Zaterdag,08:45,Meisjes O9-Rood,M.H.V. Evergreen Evergreen MO9-1,Veld 1C,,,thuis
2026-06-13,Zaterdag,08:45,Meisjes O8-Geel,DMHC Dordrecht MO8-Geel,Veld 1B,,,thuis
2026-06-13,Zaterdag,08:45,Jongens O9-Blauw,H.V. Victoria Victoria JO9-Groen,Veld 1D,,,thuis
2026-06-13,Zaterdag,09:00,Jongens O14-1,M.H.V. Forcial Forcial JO14-1,Veld 2,,,thuis
2026-06-13,Zaterdag,10:00,Jongens O9-Geel,H.C. Voorne Voorne JO9-Groen,Veld 1D,,,thuis
2026-06-13,Zaterdag,10:00,Meisjes O10-Geel,H.C. De Hoeksche Waard Hoeksche Waard MO10-Blauw,Veld 1AB,,,thuis
2026-06-13,Zaterdag,10:00,Coolkids-Groen,V.M.H.C. CARTOUCHE Cartouche JO7-Geel,Veld 1C,,,thuis
2026-06-13,Zaterdag,10:45,Meisjes O16-2,H.C. Derby Derby MO16-3,Veld 2,,,thuis
2026-06-13,Zaterdag,11:30,Jongens O10-Groen,H.C. Klein Zwitserland Klein Zwitserland JO10-Blauw,Veld 1CD,,,thuis
2026-06-13,Zaterdag,11:30,Meisjes O10-Oranje,H.C. Rotterdam Rotterdam MO10-Roze,Veld 1AB,,,thuis
2026-06-13,Zaterdag,12:30,Meisjes O14-3,H.V. Berkel en Rodenrijs Berkel-Rodenrijs MO14-7,Veld 2,,,thuis
2026-06-13,Zaterdag,13:00,Meisjes O11-2,H.V. Bleiswijk Bleiswijk MO11-1,Veld 1ABC,,,thuis
2026-06-13,Zaterdag,14:15,Meisjes O14-1,N.H.C. De IJssel IJssel MO14-1,Veld 2,,,thuis
2026-06-13,Zaterdag,14:45,Jongens O11-1,H.C. Etten-Leur Etten-Leur JO11-1,Veld 1ABC,,,thuis
2026-06-13,Zaterdag,16:00,Meisjes O16-1,D.H.C. HUDITO HUDITO MO16-4,Veld 2,,,thuis
2026-06-13,Zaterdag,16:30,Jongens O12-1,H.C. Feijenoord Feijenoord JO12-1,Veld 1,,,thuis
2026-06-14,Zondag,10:00,Dames 4,LOHC Leiden D9,Veld 2,,,thuis
2026-06-14,Zondag,11:50,Dames 3,H.C. Barendrecht Barendrecht D2,Veld 2,,,thuis
2026-06-14,Zondag,13:40,Heren 3,Ring Pass Delft Ring Pass H5,Veld 2,,,thuis
2026-06-14,Zondag,15:30,Heren 5,H.C.C. Groen-Geel Groen-Geel H11,Veld 2,,,thuis
2026-06-28,Zondag,14:30,Heren 2,- Gentlemen 2 Legends,Veld 2,,,thuis
